cts,GPS (Lat.) [deg],GPS (Long.) [deg]
0,30.2976185,120.0767855
10,30.2976185,120.0767855
20,30.2976185,120.0767855
30,30.2976185,120.0767855
40,30.2976185,120.0767855
50,30.2976185,120.0767855
60,30.2976185,120.0767855
70,30.2976185,120.0767855
80,30.2976185,120.0767855
90,30.2976185,120.0767856
100,30.2976185,120.0767856
110,30.2976185,120.0767856
120,30.2976185,120.0767856
130,30.2976185,120.0767856
140,30.2976185,120.0767856
150,30.2976185,120.0767857
160,30.2976185,120.0767857
170,30.2976185,120.0767857
180,30.2976185,120.0767857
190,30.2976185,120.0767857
200,30.2976185,120.0767857
210,30.2976185,120.0767857
220,30.2976185,120.0767857
230,30.29761853,120.0767857
240,30.29761848,120.0767857
250,30.29761843,120.0767857
260,30.29761838,120.0767856
270,30.29761832,120.0767856
280,30.29761827,120.0767855
290,30.29761819,120.0767855
300,30.29761821,120.0767855
310,30.29761823,120.0767856
320,30.29761824,120.0767856
330,30.29761826,120.0767857
340,30.29761828,120.0767857
350,30.29761831,120.0767858
360,30.29761829,120.0767858
370,30.29761827,120.0767858
380,30.29761825,120.0767858
390,30.29761824,120.0767858
400,30.29761822,120.0767858
410,30.2976182,120.0767858
420,30.2976182,120.0767858
430,30.2976182,120.0767858
440,30.2976182,120.0767858
450,30.2976182,120.0767859
460,30.2976182,120.0767859
470,30.2976182,120.0767859
480,30.29761822,120.0767859
490,30.29761823,120.0767859
500,30.29761825,120.0767859
510,30.29761827,120.0767859
520,30.29761828,120.0767859
530,30.2976183,120.0767859
540,30.29761832,120.0767859
550,30.29761833,120.0767859
560,30.29761835,120.0767859
570,30.29761837,120.0767859
580,30.29761843,120.0767859
590,30.2976184,120.0767859
600,30.29761836,120.0767859
610,30.29761833,120.0767859
620,30.29761829,120.0767859
630,30.29761826,120.0767859
640,30.29761819,120.0767859
650,30.2976182,120.0767859
660,30.29761822,120.0767859
670,30.29761824,120.0767859
680,30.29761825,120.0767859
690,30.29761827,120.0767859
700,30.2976183,120.0767859
710,30.2976183,120.0767859
720,30.2976183,120.0767859
730,30.2976183,120.0767859
740,30.2976183,120.076786
750,30.2976183,120.076786
760,30.29761832,120.076786
770,30.29761828,120.076786
780,30.29761825,120.076786
790,30.29761822,120.076786
800,30.29761818,120.076786
810,30.29761815,120.076786
820,30.29761809,120.076786
830,30.29761811,120.076786
840,30.29761813,120.076786
850,30.29761814,120.076786
860,30.29761816,120.076786
870,30.29761818,120.076786
880,30.29761821,120.076786
890,30.29761819,120.076786
900,30.29761817,120.076786
910,30.29761815,120.076786
920,30.29761814,120.0767861
930,30.29761812,120.0767861
940,30.29761811,120.0767861
950,30.29761807,120.0767861
960,30.29761804,120.0767861
970,30.29761801,120.0767861
980,30.29761797,120.0767862
990,30.29761794,120.0767862
1000,30.2976179,120.0767862
1010,30.29761792,120.0767862
1020,30.29761793,120.0767862
1030,30.29761795,120.0767862
1040,30.29761797,120.0767862
1050,30.29761801,120.0767862
1060,30.29761799,120.0767862
1070,30.29761798,120.0767862
1080,30.29761796,120.0767862
1090,30.29761794,120.0767861
1100,30.29761792,120.0767861
1110,30.2976179,120.0767861
1120,30.2976179,120.0767861
1130,30.2976179,120.0767861
1140,30.2976179,120.0767861
1150,30.2976179,120.0767862
1160,30.2976179,120.0767862
1170,30.2976179,120.0767862
1180,30.2976179,120.0767862
1190,30.2976179,120.0767862
1200,30.2976179,120.0767863
1210,30.2976179,120.0767863
1220,30.29761791,120.0767863
1230,30.29761789,120.0767863
1240,30.29761787,120.0767863
1250,30.29761785,120.0767863
1260,30.29761783,120.0767863
1270,30.2976178,120.0767863
1280,30.2976178,120.0767863
1290,30.2976178,120.0767863
1300,30.2976178,120.0767863
1310,30.2976178,120.0767863
1320,30.2976178,120.0767863
1330,30.2976178,120.0767863
1340,30.2976178,120.0767863
1350,30.2976178,120.0767863
1360,30.2976178,120.0767863
1370,30.2976178,120.0767864
1380,30.2976178,120.0767864
1390,30.2976178,120.0767864
1400,30.2976178,120.0767864
1410,30.2976178,120.0767864
1420,30.2976178,120.0767865
1430,30.2976178,120.0767865
1440,30.2976178,120.0767865
1450,30.2976178,120.0767865
1460,30.2976178,120.0767866
1470,30.2976178,120.0767866
1480,30.2976178,120.0767866
1490,30.2976178,120.0767867
1500,30.2976178,120.0767867
1510,30.2976178,120.0767867
1520,30.2976178,120.0767867
1530,30.2976178,120.0767867
1540,30.2976178,120.0767867
1550,30.29761781,120.0767867
1560,30.29761779,120.0767867
1570,30.29761778,120.0767867
1580,30.29761776,120.0767867
1590,30.29761774,120.0767867
1600,30.29761772,120.0767867
1610,30.2976177,120.0767867
1620,30.2976177,120.0767867
1630,30.2976177,120.0767868
1640,30.2976177,120.0767868
1650,30.2976177,120.0767868
1660,30.2976177,120.0767869
1670,30.2976177,120.0767869
1680,30.2976177,120.0767869
1690,30.2976177,120.0767869
1700,30.2976177,120.076787
1710,30.2976177,120.076787
1720,30.29761771,120.076787
1730,30.29761769,120.076787
1740,30.29761767,120.076787
1750,30.29761765,120.076787
1760,30.29761764,120.076787
1770,30.29761758,120.076787
1780,30.2976176,120.076787
1790,30.29761762,120.076787
1800,30.29761764,120.076787
1810,30.29761765,120.0767871
1820,30.29761767,120.0767871
1830,30.2976177,120.0767871
1840,30.2976177,120.0767871
1850,30.2976177,120.0767871
1860,30.2976177,120.0767871
1870,30.2976177,120.0767871
1880,30.2976177,120.0767871
1890,30.2976177,120.0767871
1900,30.29761773,120.0767871
1910,30.29761777,120.0767871
1920,30.29761781,120.0767872
1930,30.29761784,120.0767872
1940,30.2976179,120.0767872
1950,30.2976179,120.0767872
1960,30.2976179,120.0767872
1970,30.2976179,120.0767872
1980,30.2976179,120.0767872
1990,30.2976179,120.0767872
2000,30.29761791,120.0767872
2010,30.29761787,120.0767872
2020,30.29761784,120.0767872
2030,30.2976178,120.0767872
2040,30.29761776,120.0767872
2050,30.29761771,120.0767872
2060,30.2976177,120.0767872
2070,30.29761768,120.0767872
2080,30.29761766,120.0767873
2090,30.29761764,120.0767873
2100,30.29761762,120.0767874
2110,30.2976176,120.0767874
2120,30.2976176,120.0767874
2130,30.2976176,120.0767874
2140,30.2976176,120.0767874
2150,30.2976176,120.0767874
2160,30.2976176,120.0767874
2170,30.2976176,120.0767874
2180,30.2976176,120.0767874
2190,30.2976176,120.0767874
2200,30.2976176,120.0767875
2210,30.2976176,120.0767875
2220,30.2976176,120.0767875
2230,30.2976176,120.0767875
2240,30.2976176,120.0767875
2250,30.2976176,120.0767875
2260,30.2976176,120.0767876
2270,30.2976176,120.0767876
2280,30.2976176,120.0767876
2290,30.29761758,120.0767876
2300,30.29761756,120.0767876
2310,30.29761755,120.0767876
2320,30.29761753,120.0767876
2330,30.29761749,120.0767876
2340,30.29761751,120.0767876
2350,30.29761753,120.0767876
2360,30.29761754,120.0767876
2370,30.29761756,120.0767876
2380,30.29761758,120.0767876
2390,30.2976176,120.0767876
2400,30.2976176,120.0767876
2410,30.2976176,120.0767876
2420,30.2976176,120.0767876
2430,30.2976176,120.0767876
2440,30.2976176,120.0767876
2450,30.2976176,120.0767876
2460,30.2976176,120.0767876
2470,30.2976176,120.0767876
2480,30.2976176,120.0767877
2490,30.2976176,120.0767877
2500,30.2976176,120.0767877
2510,30.29761761,120.0767877
2520,30.29761763,120.0767877
2530,30.29761765,120.0767877
2540,30.29761767,120.0767878
2550,30.29761771,120.0767878
2560,30.2976177,120.0767878
2570,30.29761768,120.0767878
2580,30.29761766,120.0767878
2590,30.29761764,120.0767879
2600,30.29761762,120.0767879
2610,30.2976176,120.0767879
2620,30.2976176,120.0767879
2630,30.2976176,120.0767879
2640,30.2976176,120.0767879
2650,30.2976176,120.076788
2660,30.2976176,120.076788
2670,30.2976176,120.076788
2680,30.2976176,120.076788
2690,30.2976176,120.076788
2700,30.2976176,120.076788
2710,30.2976176,120.076788
2720,30.2976176,120.076788
2730,30.2976176,120.076788
2740,30.2976176,120.076788
2750,30.2976176,120.076788
2760,30.2976176,120.0767879
2770,30.2976176,120.0767879
2780,30.2976176,120.0767879
2790,30.29761758,120.0767879
2800,30.29761757,120.0767879
2810,30.29761755,120.076788
2820,30.29761753,120.076788
2830,30.2976175,120.076788
2840,30.2976175,120.076788
2850,30.2976175,120.076788
2860,30.2976175,120.076788
2870,30.2976175,120.0767881
2880,30.2976175,120.0767881
2890,30.29761751,120.0767881
2900,30.29761747,120.0767881
2910,30.29761743,120.0767881
2920,30.2976174,120.0767881
2930,30.29761736,120.0767881
2940,30.2976173,120.0767881
2950,30.2976173,120.0767881
2960,30.2976173,120.0767881
2970,30.2976173,120.0767881
2980,30.2976173,120.0767881
2990,30.2976173,120.0767881
3000,30.29761731,120.0767881
3010,30.29761729,120.0767881
3020,30.29761727,120.0767881
3030,30.29761725,120.0767881
3040,30.29761723,120.0767881
3050,30.29761717,120.0767881
3060,30.2976172,120.0767881
3070,30.29761724,120.0767881
3080,30.29761728,120.0767881
3090,30.29761731,120.0767881
3100,30.29761735,120.0767881
3110,30.29761741,120.0767881
3120,30.29761739,120.0767881
3130,30.29761737,120.0767881
3140,30.29761735,120.0767881
3150,30.29761734,120.0767881
3160,30.29761732,120.0767881
3170,30.2976173,120.0767881
3180,30.29761728,120.0767881
3190,30.29761726,120.0767881
3200,30.29761725,120.0767882
3210,30.29761723,120.0767882
3220,30.2976172,120.0767882
3230,30.2976172,120.0767882
3240,30.2976172,120.0767882
3250,30.2976172,120.0767882
3260,30.2976172,120.0767883
3270,30.2976172,120.0767883
3280,30.2976172,120.0767883
3290,30.29761718,120.0767883
3300,30.29761717,120.0767883
3310,30.29761715,120.0767883
3320,30.29761713,120.0767883
3330,30.2976171,120.0767883
3340,30.2976171,120.0767883
3350,30.2976171,120.0767883
3360,30.2976171,120.0767883
3370,30.2976171,120.0767884
3380,30.2976171,120.0767884
3390,30.2976171,120.0767884
3400,30.2976171,120.0767884
3410,30.2976171,120.0767884
3420,30.2976171,120.0767884
3430,30.2976171,120.0767884
3440,30.29761709,120.0767884
3450,30.2976171,120.0767884
3460,30.29761712,120.0767884
3470,30.29761714,120.0767884
3480,30.29761716,120.0767885
3490,30.29761718,120.0767885
3500,30.29761721,120.0767885
3510,30.29761719,120.0767885
3520,30.29761717,120.0767885
3530,30.29761715,120.0767885
3540,30.29761713,120.0767884
3550,30.29761712,120.0767884
3560,30.2976171,120.0767884
3570,30.29761708,120.0767884
3580,30.29761706,120.0767884
3590,30.29761704,120.0767884
3600,30.29761703,120.0767884
3610,30.297617,120.0767884
3620,30.297617,120.0767884
3630,30.297617,120.0767884
3640,30.297617,120.0767884
3650,30.297617,120.0767884
3660,30.297617,120.0767884
3670,30.297617,120.0767884
3680,30.297617,120.0767884
3690,30.297617,120.0767884
3700,30.297617,120.0767885
3710,30.297617,120.0767885
3720,30.29761699,120.0767885
3730,30.29761701,120.0767885
3740,30.29761703,120.0767885
3750,30.29761704,120.0767885
3760,30.29761706,120.0767886
3770,30.29761708,120.0767886
3780,30.2976171,120.0767886
3790,30.2976171,120.0767886
3800,30.2976171,120.0767886
3810,30.2976171,120.0767885
3820,30.2976171,120.0767885
3830,30.29761711,120.0767885
3840,30.29761709,120.0767885
3850,30.29761708,120.0767885
3860,30.29761706,120.0767885
3870,30.29761704,120.0767885
3880,30.29761702,120.0767885
3890,30.297617,120.0767885
3900,30.297617,120.0767885
3910,30.297617,120.0767885
3920,30.297617,120.0767885
3930,30.297617,120.0767885
3940,30.29761697,120.0767885
3950,30.29761701,120.0767885
3960,30.29761704,120.0767885
3970,30.29761708,120.0767885
3980,30.29761711,120.0767885
3990,30.29761715,120.0767885
4000,30.2976172,120.0767885
4010,30.2976172,120.0767885
4020,30.2976172,120.0767885
4030,30.2976172,120.0767885
4040,30.2976172,120.0767886
4050,30.29761719,120.0767886
4060,30.29761721,120.0767886
4070,30.29761723,120.0767886
4080,30.29761724,120.0767886
4090,30.29761726,120.0767886
4100,30.29761734,120.0767886
4110,30.2976173,120.0767886
4120,30.29761726,120.0767886
4130,30.29761722,120.0767886
4140,30.29761718,120.0767887
4150,30.29761715,120.0767887
4160,30.2976171,120.0767887
4170,30.29761712,120.0767887
4180,30.29761713,120.0767887
4190,30.29761715,120.0767886
4200,30.29761717,120.0767886
4210,30.2976172,120.0767886
4220,30.2976172,120.0767886
4230,30.2976172,120.0767886
4240,30.2976172,120.0767886
4250,30.2976172,120.0767885
4260,30.2976172,120.0767885
4270,30.2976172,120.0767885
4280,30.2976172,120.0767885
4290,30.2976172,120.0767885
4300,30.2976172,120.0767885
4310,30.2976172,120.0767885
4320,30.2976172,120.0767885
4330,30.29761722,120.0767885
4340,30.29761724,120.0767885
4350,30.29761726,120.0767885
4360,30.29761728,120.0767885
4370,30.2976173,120.0767885
4380,30.2976173,120.0767885
4390,30.2976173,120.0767885
4400,30.2976173,120.0767885
4410,30.2976173,120.0767885
4420,30.29761729,120.0767885
4430,30.29761731,120.0767885
4440,30.29761733,120.0767885
4450,30.29761735,120.0767885
4460,30.29761737,120.0767884
4470,30.2976174,120.0767884
4480,30.2976174,120.0767884
4490,30.2976174,120.0767884
4500,30.2976174,120.0767884
4510,30.2976174,120.0767885
4520,30.2976174,120.0767885
4530,30.2976174,120.0767885
4540,30.29761737,120.0767885
4550,30.29761733,120.0767885
4560,30.29761729,120.0767885
4570,30.29761725,120.0767885
4580,30.29761719,120.0767885
4590,30.29761721,120.0767885
4600,30.29761723,120.0767885
4610,30.29761725,120.0767885
4620,30.29761727,120.0767885
4630,30.2976173,120.0767885
4640,30.2976173,120.0767885
4650,30.2976173,120.0767885
4660,30.2976173,120.0767885
4670,30.2976173,120.0767884
4680,30.29761728,120.0767884
4690,30.2976173,120.0767884
4700,30.29761732,120.0767884
4710,30.29761734,120.0767884
4720,30.29761736,120.0767885
4730,30.29761738,120.0767885
4740,30.2976174,120.0767885
4750,30.29761738,120.0767885
4760,30.29761737,120.0767885
4770,30.29761735,120.0767885
4780,30.29761733,120.0767885
4790,30.29761729,120.0767885
4800,30.29761731,120.0767885
4810,30.29761733,120.0767885
