lat,long,catagories,severity
30.29761497,120.076722,2,2
30.29761435,120.0767134,2,2
30.29644843,120.0766184,0,0
30.29626061,120.0763986,2,2
30.29625775,120.0763856,2,2
30.29625397,120.0763185,0,0
30.29625444,120.0762812,1,2
30.2962558,120.0762607,1,2
30.29625683,120.0762388,1,2
30.296261,120.0761669,0,0
30.29626169,120.076138,0,0
30.29627023,120.0760198,1,2
30.29627295,120.0759886,1,2
30.29628348,120.0758264,1,2
30.29628509,120.0757963,1,2
30.29628944,120.0757398,1,2
30.29629078,120.0757141,1,2
30.29623156,120.0754115,2,2
30.2962208,120.0753996,2,2
30.29612929,120.0753428,0,0
30.29612796,120.0753415,0,0
30.29612466,120.0753404,2,2
30.29612277,120.0753395,2,2
30.29608928,120.0753202,1,3
30.29608787,120.0753191,1,3
30.29608628,120.075318,1,3
30.29604642,120.0752559,0,0
30.29604465,120.0752446,0,0
30.2960431,120.0752318,0,0
30.29623484,120.073959,0,0
30.29624063,120.0739241,0,0
30.29624667,120.073888,0,0
30.29625375,120.0738495,0,0
30.29626036,120.0738103,0,0
30.29629302,120.0736265,0,0
30.29629962,120.0735887,0,0
30.29630647,120.0735509,0,0
30.29631335,120.0735133,0,0
30.29631973,120.073477,0,0
30.29632606,120.0734417,1,2
30.29633221,120.073407,1,2
30.29633874,120.0733727,1,2
30.29635136,120.0733025,1,2
30.29635672,120.0732713,1,2
30.29636209,120.07324,1,2
30.29636756,120.0732084,1,2
30.29637307,120.0731774,1,2
30.29637847,120.0731465,0,0
30.29638365,120.0731153,0,0
30.29638904,120.0730835,0,0
30.29639447,120.0730514,0,0
30.29639995,120.0730184,0,0
30.29656747,120.0720064,0,0
30.29664564,120.0715376,0,0
30.29665158,120.0714964,0,0
30.29667792,120.0712924,0,0
30.29668309,120.0712525,0,0
30.29677983,120.0706157,0,0
30.29678711,120.0705768,0,0
30.29681572,120.0704151,0,0
30.29682203,120.0703759,0,0
30.2968722,120.0681458,1,2
30.2968721,120.0681183,1,2
30.2968692,120.0678037,0,0
30.29686842,120.0677383,0,0
30.29686773,120.0677058,0,0
30.29786252,120.0598112,1,2
30.29786443,120.0597768,1,2
30.29788171,120.0594329,0,0
30.29788439,120.059397,0,0
30.29790899,120.0589385,0,0
30.29791267,120.0588551,1,2
30.29791418,120.0588179,1,2
30.29831806,120.050663,0,0
30.29832048,120.0506185,0,0
30.29832259,120.0505739,0,0
30.29832508,120.0505277,0,0
30.29832745,120.0504802,0,0
30.29832993,120.0504327,0,0
30.29833228,120.0503857,0,0
30.29833488,120.0503414,0,0
30.29833758,120.050297,0,0
30.29835924,120.0487224,2,2
30.2983614,120.0486797,2,2
30.29838376,120.0483649,0,0
30.29838587,120.0483244,0,0
30.29840455,120.0480267,0,0
30.29840683,120.0479888,0,0
30.29840956,120.047955,0,0
30.29841489,120.0478898,0,0
30.29841716,120.0478569,0,0
30.29842438,120.04775,1,2
30.2984263,120.0477154,1,2
30.29842837,120.0476817,1,2
30.29843068,120.0476475,1,2
30.2984332,120.0476142,1,2
30.29843456,120.0475795,1,2
30.29843632,120.0475459,1,2
30.29843842,120.0475125,1,2
30.29845973,120.0470705,0,0
30.29846155,120.0470379,0,0
30.2987033,120.0430674,0,0
30.29870371,120.0430677,0,0
30.29870412,120.0430677,0,0
30.29870485,120.0430678,1,2
30.2987053,120.0430684,1,2
30.2987057,120.0430684,1,2
30.29871927,120.0430724,2,2
30.29871959,120.043072,0,0
30.29871988,120.0430721,0,0
30.29872,120.043072,1,2
30.2987201,120.0430717,1,2
30.29872053,120.0430708,0,0
30.29872045,120.0430706,0,0
30.29872177,120.0430592,0,0
30.29871862,120.0429226,2,2
30.29871339,120.0429181,2,2
30.29815391,120.0522385,0,0
30.29815066,120.0522864,0,0
30.29804559,120.0539635,2,2
30.29804433,120.0539888,2,2
30.29804326,120.054014,0,0
30.29804174,120.0540386,0,0
30.2980266,120.0543925,1,2
30.2980266,120.0543924,1,2
30.29802673,120.0543925,1,2
30.29802665,120.0543929,0,0
30.29802685,120.054393,0,0
30.29802686,120.0543934,0,0
30.297618297899998,120.076785822
30.2976177999,120.076786628
30.2976175819,120.07678771799999
30.2976171307,120.07678835799999
30.297617296899997,120.076788485
30.2976174936,120.07678807500001
30.2976166951,120.076787742
30.2976157177,120.07678687800001
30.297614778799996,120.076786524
30.297614111100003,120.076786141
30.297612986999997,120.07678534799999
30.297612376900002,120.076784552
30.297612937700002,120.07678382399999
30.2976141436,120.076783178
30.2976158563,120.076782051
30.297616190200003,120.07677444400001
30.2976157807,120.076755739
30.2976151549,120.076729882
30.2976133196,120.07670170600001
30.297608899800004,120.076679098
30.2976039449,120.07666574299999
30.2975997625,120.07665811700001
30.2975947097,120.076652961
30.297586160699996,120.076645992
30.297569298899997,120.076639044
30.2975482197,120.07663806000001
30.297524451999998,120.076640002
30.2974873556,120.07663860299999
30.2974370473,120.076636613
30.297375888,120.076635033
30.297307650100002,120.076633518
30.297234827799997,120.076631969
30.297157458,120.076630025
30.2970803509,120.07662991299999
30.297005003899997,120.076630044
30.2969283228,120.076630436
30.296852546,120.07663147299999
30.296777338000002,120.07663294
30.296700586900002,120.076634277
30.2966231182,120.07663490499999
30.2965524585,120.07663267
30.2964878553,120.076625835
30.296428285799998,120.076610825
30.2963787946,120.07658152600001
30.2963346435,120.076539017
30.2962981997,120.07648956499999
30.296274686800004,120.07644425000001
30.2962606132,120.076397017
30.296254714400003,120.07635032399999
30.2962543326,120.076294671
30.2962580881,120.076219537
30.296262846,120.076126435
30.2962704096,120.07602011499999
30.296278738300003,120.075905941
30.296285573,120.075793214
30.2962921084,120.07569768699999
30.296296312099997,120.075613825
30.296291136599997,120.075539855
30.296273315100002,120.075477466
30.2962423305,120.075425092
30.2962067054,120.075387357
30.296176331599998,120.075366361
30.2961528899,120.07535406299999
30.296137970700002,120.07534691000001
30.2961297037,120.07534280899999
30.296123786,120.075339981
30.296115505,120.07533614
30.2961057527,120.075330958
30.2961004756,120.07532793799999
30.296098566700003,120.075326594
30.2960964097,120.075325109
30.2960933668,120.075322984
30.296088708699997,120.07531972000001
30.296082598799998,120.07531534499999
30.2960745773,120.075308262
30.2960655024,120.07529735
30.296054149800003,120.075277288
30.2960445044,120.075240215
30.2960446469,120.075182673
30.2960522188,120.075102962
30.2960633655,120.075001007
30.2960799305,120.07488698499999
30.2961000103,120.074764121
30.2961211435,120.074636467
30.2961431735,120.074505799
30.2961652598,120.07437442099999
30.2961878606,120.074239648
30.296210392,120.074103455
30.2962320665,120.073974576
30.2962544428,120.07384432799999
30.2962782662,120.073709819
30.2963015195,120.073578565
30.2963249616,120.07344756799999
30.2963477189,120.07332284
30.2963674223,120.073209235
30.2963866913,120.073097531
30.2964062343,120.07298080599999
30.296425433499998,120.072868339
30.2964437917,120.072773247
30.2964593069,120.072682549
30.2964738674,120.072579774
30.2964924857,120.07245774799999
30.2965137252,120.07232506700001
30.296535071500003,120.072193336
30.296559014600003,120.072054148
30.2965828026,120.071918459
