index,catagories,severity
26460,0,0
28140,0,0
31780,0,0
32060,0,0
32340,0,0
39620,1,2
39900,1,2
40460,0,0
41020,0,0
41300,0,0
42700,0,0
44940,1,2
45220,1,2
46620,0,0
46900,0,0
48580,0,0
55300,0,0
55580,0,0
56420,0,0
64820,0,0
65100,0,0
67060,0,0
67340,0,0
67620,0,0
67900,0,0
68180,0,0
68740,1,1
69020,1,1
69300,1,1
69580,1,1
70140,0,0
70420,0,0
88340,1,1
88620,1,1
88900,1,1
89180,1,1
89460,0,0
90300,0,0
90580,0,0
90860,0,0
91140,0,0
91420,0,0
91980,1,2
92260,1,2
92540,1,2
92820,0,0
93100,1,2
93380,1,2
93660,1,2
93940,1,2
94220,1,2
94500,0,0
94780,0,0
95060,1,2
95340,1,2
95620,1,2
96180,0,0
107940,0,0
108220,0,0
108500,0,0
108780,0,0
111300,0,0
111580,0,0
113820,1,2
114100,1,2
115780,1,1
116060,1,1
117460,1,1
117740,1,1
118020,1,1
118580,0,0
118860,0,0
119140,0,0
119420,0,0
119700,0,0
119980,0,0
120260,0,0
120820,0,0
121100,0,0
122780,0,0
123060,0,0
124180,0,0
124460,0,0
124740,0,0
132300,0,0
132860,0,0
133140,0,0
135100,1,2
135380,1,2
135660,1,2
137060,0,0
137340,0,0
137620,0,0
138180,1,2
138460,1,2
139020,0,0
139300,0,0
139860,0,0
140140,0,0
142940,1,2
143220,1,2
143780,0,0
144060,0,0
144620,1,2
144900,1,2
145180,1,2
145740,0,0
149380,1,2
149660,1,2
149940,1,2
153020,1,1
153300,1,1
256340,1,2
256620,1,2
256900,1,2
257180,0,0
257460,0,0
257740,0,0
258020,0,0
258300,0,0
259140,0,0
261940,0,0
262220,0,0
262500,1,2
262780,1,2
263060,1,2
305340,1,2
305620,1,2
305900,1,2
306180,1,2
306740,0,0
307020,0,0
308140,0,0
308420,0,0
308980,0,0
310100,0,0
311220,0,0
311500,0,0
326900,0,0
327180,0,0
330540,0,0
330820,0,0
335580,1,1
335860,1,1
336140,1,1
336420,0,0
337260,0,0
337540,0,0
338380,0,0
338660,0,0
338940,0,0
339220,0,0
339500,1,1
339780,1,1
340060,1,1
347340,0,0
364980,0,0
365260,0,0
366380,1,1
366660,1,1
368900,1,2
369180,1,2
370300,1,2
370580,1,2
370860,1,2
371140,1,2
371420,1,2
380100,0,0
380380,0,0
380940,0,0
381220,0,0
385140,0,0
385420,0,0
387100,0,0
387380,0,0
387660,0,0
387940,0,0
388500,1,2
388780,1,2
391300,1,2
391580,1,2
394100,0,0
394380,0,0
398580,1,2
398860,1,2
399140,1,2
401100,1,2
401380,1,2
401660,1,2
401940,0,0
406700,1,2
406980,1,2
407260,1,2
475860,0,0
